,Date,Issuer,Symbol,Managers,Offer Price,Opening Price,1st Day Close,1st Day % Chg
918,10/12/16,Azure Power Global ,AZRE,Barclays/ Credit Suisse,18.0,16.12,14.6,-0.1888888888888889
919,10/12/16,Extraction Oil & Gas ,XOG,Credit Suisse/ Barclays/ Goldman Sachs,19.0,22.75,21.85,0.15000000000000008
920,10/14/16,Mammoth Energy Services ,TUSK,Credit Suisse/ Barclays/ Simmons & Company International (Energy Specialists of Piper Jaffray),15.0,13.66,13.26,-0.11600000000000002
922,10/20/16,Forterra ,FRTA,Goldman Sachs/ Citigroup/ Credit Suisse,18.0,16.61,16.5,-0.08333333333333333
924,10/26/16,Ra Pharmaceuticals ,RARX,Credit Suisse/ Jefferies/ BMO Capital Markets,13.0,14.16,13.0,0.0
931,11/2/16,GDS Holdings Ltd. ,GDS,Credit Suisse/ J.P. Morgan,10.0,10.0,10.41,0.041000000000000016
932,11/4/16,Smart Sand ,SND,Credit Suisse/ GoldmanSachs,11.0,10.3,10.99,-0.0009090909090908897
943,1/23/15,Box,BOX,Morgan Stanley/ Credit Suisse/ J.P. Morgan,14.0,20.2,23.23,0.6592857142857144
951,1/30/15,Spark Therapeutics ,ONCE,J.P. Morgan/ Credit Suisse,23.0,42.05,50.0,1.173913043478261
967,2/21/15,Baozun ,BZUN,Morgan Stanley/ Credit Suisse/ BofA Merrill Lynch,10.0,10.25,10.44,0.04399999999999995
971,3/17/15,Goldman Sachs BDC ,GSBD,BofA Merrill Lynch/ Goldman Sachs/ Morgan Stanley/ Citigroup/ Credit Suisse/ Wells Fargo Securities,20.0,19.5,20.05,0.0025000000000000356
988,4/24/15,Apigee  ,APIC,Morgan Stanley/ J.P. Morgan/ Credit Suisse,17.0,20.0,16.7,-0.017647058823529453
1006,5/15/15,Arcadia Biosciences  ,RKDA,Credit Suisse/ J.P. Morgan/ Piper Jaffray,8.0,7.49,7.3,-0.08750000000000002
1011,5/21/15,Shopify ,SHOP,Morgan Stanley/ Credit Suisse/ RBC Capital Markets,17.0,28.0,25.68,0.5105882352941177
1026,6/19/15,MINDBODY ,MB,Morgan Stanley/ Credit Suisse/ UBS Securities,14.0,16.22,11.56,-0.17428571428571424
1031,6/25/15,Lantheus Holdings ,LNTH,Credit Suisse/ Jefferies/ RBC Capital Markets/ Wells Fargo Securities,14.0,16.22,11.56,-0.17428571428571424
1032,6/25/15,Milacron Holdings  ,MCRN,BofA Merrill Lynch/ Barclays/ J.P. Morgan/ Baird/ Credit Suisse/ Goldman Sachs,20.0,19.5,19.58,-0.021000000000000085
1033,6/25/15,TransUnion  ,TRU,Goldman Sachs/ J.P. Morgan/ BofA Merrill Lynch/ Deutsche Bank Securities/ RBC Capital Markets/ Wells Fargo Securities/ Credit Suisse,22.5,24.62,24.5,0.08888888888888889
1034,6/26/15,Alarm.com Holdings  ,ALRM,Goldman Sachs/ Credit Suisse/ BofA Merrill Lynch,14.0,16.05,16.88,0.20571428571428566
1035,6/26/15,AppFolio ,APPF,Morgan Stanley/ Credit Suisse,12.0,12.15,14.08,0.17333333333333334
